"gene" "label"
"AHCYL1" "None"
"STRIP1" "None"
"RP4-773N10.4" "None"
"KCNC4-AS1" "None"
"KCNC4" "CV_LSECs"
"RP5-1074L1.1" "None"
"RBM15" "None"
"SLC16A4" "None"
"RP5-1074L1.4" "None"
"LAMTOR5" "None"
"KCNA2" "None"
"RP11-284N8.3" "None"
"KCNA3" "None"
"CD53" "any_T_cell"
"RP11-96K19.2" "None"
"LRIF1" "None"
"RP11-96K19.5" "None"
"DRAM2" "None"
"CEPT1" "None"
"RP5-1180E21.4" "None"
"RP5-1180E21.5" "None"
"DENND2D" "None"
"CHI3L2" "None"
"PIFO" "None"
"OVGP1" "None"
"WDR77" "None"
"ATP5F1" "gd_T_2"
"C1orf162" "Mac"
"TMIGD3" "NonInfl_Mac"
"ADORA3" "NonInfl_Mac"
"RAP1A" "None"
"FAM212B" "None"
"DDX20" "None"
"KCND3" "None"
"RP11-88H9.2" "None"
"RP5-965F6.2" "None"
"CTTNBP2NL" "None"
"WNT2B" "None"
"RP4-671G15.2" "None"
"ST7L" "None"
"CAPZA1" "Mac"
"MOV10" "None"
"RP11-426L16.3" "None"
"RHOC" "LSECs"
"PPM1J" "None"
"LINC01356" "None"
"RP3-522D1.1" "None"
"SLC16A1" "None"
"SLC16A1-AS1" "None"
"RP11-31F15.2" "None"
"LRIG2" "None"
"MAGI3" "None"
"PHTF1" "None"
"RSBN1" "None"
"RP5-1073O3.2" "None"
"PTPN22" "None"
"AP4B1-AS1" "None"
"BCL2L15" "None"
"AP4B1" "None"
"DCLRE1B" "None"
"HIPK1-AS1" "None"
"HIPK1" "None"
"OLFML3" "Stellate"
"TRIM33" "None"
"BCAS2" "any_T_cell"
"DENND2C" "None"
"AMPD1" "None"
"NRAS" "None"
"CSDE1" "None"
"SIKE1" "None"
"TSPAN2" "None"
"RP4-666F24.3" "None"
"NGF" "Stellate"
"VANGL1" "None"
"SLC22A15" "None"
"MAB21L3" "None"
"ATP1A1" "Cholan"
"RP4-655J12.4" "None"
"RP5-1086K13.1" "None"
"CD58" "None"
"IGSF3" "None"
"CD2" "any_T_cell"
"PTGFRN" "None"
"CD101" "None"
"RP11-27K13.3" "None"
"TTF2" "gd_T_2"
"TRIM45" "None"
"RP11-188D8.1" "None"
"MAN1A2" "None"
"FAM46C" "None"
"GDAP2" "None"
"WDR3" "None"
"TBX15" "None"
"WARS2" "None"
"RP11-418J17.1" "None"
"RP11-418J17.3" "None"
"RP5-834N19.1" "None"
"HAO2" "Hep"
"ZNF697" "None"
"PHGDH" "None"
"HMGCS2" "Hep"
"NOTCH2" "None"
"SEC22B" "None"
"AC253572.1" "None"
"NBPF26" "None"
"AC241377.2" "None"
"LINC00623" "None"
"FCGR1B" "None"
"FAM72B" "None"
"SRGAP2C" "None"
"CH17-437K3.1" "None"
"RP11-344P13.4" "None"
"RP11-344P13.6" "None"
"RP11-403I13.5" "Hep"
"RP11-403I13.7" "None"
"FAM72C" "None"
"RP11-14N7.2" "None"
"RP11-763B22.4" "None"
"NBPF15" "None"
